country_code,country_name,year,indicator_code,indicator_name,value
CM,Cameroon,2023,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),
CM,Cameroon,2022,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),283.68490442019
CM,Cameroon,2021,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),277.383977073951
CM,Cameroon,2020,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),259.742657901446
CM,Cameroon,2019,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),261.623741305755
CM,Cameroon,2018,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),275.453297645207
CM,Cameroon,2017,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),263.504709618266
CM,Cameroon,2016,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),251.426601872478
CM,Cameroon,2015,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),278.517097655035
CM,Cameroon,2014,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),250.409192827907
CM,Cameroon,2013,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),245.019524934989
CM,Cameroon,2012,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),240.755088690378
CM,Cameroon,2011,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),238.875414287962
CM,Cameroon,2010,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),270.489228579973
CM,Cameroon,2009,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),274.354249932536
CM,Cameroon,2008,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),276.891595459818
CM,Cameroon,2007,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),263.325616945383
CM,Cameroon,2006,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),255.093799249214
CM,Cameroon,2005,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),193.621002057208
CM,Cameroon,2004,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),199.873730372866
CM,Cameroon,2003,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),173.758720422961
CM,Cameroon,2002,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),161.26644523478
CM,Cameroon,2001,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),171.854189786858
CM,Cameroon,2000,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),182.328658169038
CG,"Congo, Rep.",2023,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),
CG,"Congo, Rep.",2022,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),458.981319957369
CG,"Congo, Rep.",2021,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),383.049881512506
CG,"Congo, Rep.",2020,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),369.559749346013
CG,"Congo, Rep.",2019,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),358.041904255927
CG,"Congo, Rep.",2018,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),312.595862427181
CG,"Congo, Rep.",2017,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),306.484139165477
CG,"Congo, Rep.",2016,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),304.44979220823
CG,"Congo, Rep.",2015,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),297.395960946967
CG,"Congo, Rep.",2014,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),199.160751465067
CG,"Congo, Rep.",2013,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),198.060611900231
CG,"Congo, Rep.",2012,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),204.200023204548
CG,"Congo, Rep.",2011,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),140.78934009932
