feature,importance
pop_electrifiee,0.2894882565269885
log_pib,0.21822197630905554
NY.GDP.MKTP.CD,0.2119079433365531
indus_absolue,0.10911520612797287
log_pop_urb,0.03443686639610263
gwh_par_pib,0.030154418001599504
intensite_kwh_pib,0.02523629396464173
pop_urbaine,0.021893421176173006
EG.ELC.ACCS.UR.ZS,0.00474523658170819
EG.USE.PCAP.KG.OE_lag2,0.00420669026015654
SP.URB.TOTL.IN.ZS,0.003563937992590288
pop_active,0.0034314391188487777
SP.URB.TOTL.IN.ZS_ma5,0.002683178359634514
EG.ELC.ACCS.ZS_ma5,0.002666144780166859
EG.USE.PCAP.KG.OE_lag1,0.002462104424311846
